"","handle","time","tweet","joy","fear","sadness","disgust","anger"
"1","realDonaldTrump","2017-02-18 13:51:20","Will be having many meetings this weekend at The Southern White House. Big 5:00 P.M. speech in Melbourne, Florida. A lot to talk about!","0.1146","0.202585","0.655471","0.053021","0.039612"
"2","realDonaldTrump","2017-02-18 13:31:53","Don't believe the main stream (fake news) media.The White House is running VERY WELL. I inherited a MESS and am in the process of fixing it.","0","0","0","0","0"
"3","realDonaldTrump","2017-02-18 00:02:58","Looking forward to the Florida rally tomorrow. Big crowd expected!","0.466403","0.222991","0.222718","0.039516","0.110775"
"4","realDonaldTrump","2017-02-17 23:15:56","""One of the most effective press conferences I've ever seen!"" says Rush Limbaugh. Many agree.Yet FAKE MEDIA  calls it differently! Dishonest","0.029983","0.134496","0.185657","0.631718","0.155719"
"5","realDonaldTrump","2017-02-17 21:48:22","The FAKE NEWS media (failing @nytimes, @NBCNews, @ABC, @CBS, @CNN) is not my enemy, it is the enemy of the American People!","0.00891","0.315603","0.446816","0.218793","0.154614"
"6","realDonaldTrump","2017-02-17 15:34:14","Join me at 11:00am:
Watch here: https://t.co/veqKmsGAwf https://t.co/UzndIjIqjM","0.359746","0.281306","0.345879","0.006962","0.075986"
"7","realDonaldTrump","2017-02-17 13:16:22","General Keith Kellogg, who I have known for a long time, is very much in play for NSA - as are three others.","0.647273","0.074811","0.184806","0.048852","0.128254"
"8","realDonaldTrump","2017-02-17 11:43:10","Thank you for all of the nice statements on the Press Conference yesterday. Rush Limbaugh said one of greatest ever. Fake media not happy!","0.531243","0.017626","0.126123","0.287298","0.086554"
"9","realDonaldTrump","2017-02-17 11:38:20","Going to Charleston, South Carolina, in order to spend time with Boeing and talk jobs! Look forward to it.","0.651032","0.079168","0.150518","0.0598","0.131519"
"10","realDonaldTrump","2017-02-17 10:13:32","Despite the long delays by the Democrats in finally approving Dr. Tom Price, the repeal and replacement of ObamaCare is moving fast!","0.506145","0.068829","0.277744","0.106612","0.100446"
"11","realDonaldTrump","2017-02-16 23:44:54","'Trump signs bill undoing Obama coal mining rule' https://t.co/yMfT5r5RGh","0.269041","0.177213","0.32463","0.15663","0.120146"
"12","realDonaldTrump","2017-02-16 14:39:52","The Democrats had to come up with a story as to why they lost the election, and so badly (306), so they made up a story - RUSSIA. Fake news!","0.002207","0.034674","0.778061","0.238989","0.056101"
"13","realDonaldTrump","2017-02-16 14:10:49","FAKE NEWS media, which makes up stories and ""sources,"" is far more effective than the discredited Democrats - but they are fading fast!","0.04194","0.064785","0.816056","0.101285","0.065228"
